#time_sec,time_ms,run,ls,nb,plt_bkg_A1,plt_bkg_A2,plt_bkg_B1,plt_bkg_B2
1465655685,160,274959,52,8,5.27529234279e-16,4.56726503125e-16,2.65523488206e-16,1.77719962696e-16
1465655686,617,274959,52,12,3.62681885687e-16,4.56756803335e-16,1.65936907602e-16,3.11020214441e-16
1465655688,74,274959,52,16,5.93456710781e-16,4.2412250012e-16,2.32321376011e-16,2.66599840113e-16
1465655689,530,274959,52,20,3.29710994257e-16,7.50379222976e-16,2.65514146753e-16,3.55448181447e-16
1465655690,987,274959,52,24,5.27516663347e-16,6.52507029479e-16,2.48918639282e-16,2.9620909666e-16
1465655692,444,274959,52,28,4.28608537678e-16,5.2199236907e-16,3.81675307671e-16,2.81400385786e-16
1465655693,901,274959,52,32,4.61578582449e-16,3.91481574953e-16,2.48923499521e-16,3.40636892581e-16
1465655695,359,274959,52,36,3.29703193384e-16,5.21972634712e-16,3.15315251831e-16,3.11012843962e-16
1465655696,815,274959,52,40,3.62666700066e-16,4.56739153897e-16,1.825454923e-16,2.81394397118e-16
1465655698,272,274959,52,44,2.63764365268e-16,3.58869337094e-16,1.82545578152e-16,2.66598110669e-16
1465655699,729,274959,52,48,3.95633900339e-16,5.54612255515e-16,2.98715650848e-16,3.2583848467e-16
1465655701,186,274959,52,52,2.96728140964e-16,4.89374346605e-16,2.82128340076e-16,3.55466977291e-16
1465655702,643,274959,52,56,4.28613955589e-16,5.87257665142e-16,3.1531492117e-16,3.9991130983e-16
1465655704,100,274959,52,60,4.28617194751e-16,5.22006314623e-16,4.31488625053e-16,3.85101511932e-16
1465655705,557,274959,52,64,4.28609520984e-16,6.19851903997e-16,2.48928831451e-16,2.07358971026e-16
1465655707,14,274959,53,4,4.28611640722e-16,4.56738192035e-16,2.82133198366e-16,2.36983505506e-16
1465655708,471,274959,53,8,5.93448223759e-16,6.8514018237e-16,2.32330069849e-16,3.11047886492e-16
1465655709,928,274959,53,12,2.96720215688e-16,6.198655749e-16,2.65522464146e-16,2.81417610433e-16
1465655711,385,274959,53,16,3.6265845698e-16,5.21986092443e-16,2.48923649204e-16,3.85092903535e-16
1465655712,841,274959,53,20,4.28621935637e-16,6.1987325969e-16,1.6595704129e-16,3.70292150373e-16
1465655714,298,274959,53,24,2.63760580185e-16,6.85101105648e-16,2.48932969821e-16,2.81420288728e-16
1465655715,755,274959,53,28,5.93476419803e-16,4.56736347325e-16,3.15327232931e-16,4.73991417551e-16
1465655717,212,274959,53,32,2.63754428428e-16,6.85120806232e-16,3.48512904858e-16,3.40664693862e-16
1465655718,669,274959,53,36,4.94565869641e-16,7.17744282116e-16,2.82134475365e-16,5.03587775104e-16
1465655720,126,274959,53,40,8.57261545541e-16,2.93600568568e-16,2.82131886277e-16,3.11040581544e-16
1465655721,583,274959,53,44,4.94555384625e-16,5.21988397018e-16,3.65113474457e-16,2.36976602446e-16
1465655723,40,274959,53,48,3.29697606362e-16,7.82980387214e-16,2.65534548079e-16,4.1471727559e-16
1465655724,497,274959,53,52,1.97814623561e-16,5.54593647793e-16,2.65530636564e-16,2.66599600457e-16
1465655725,954,274959,53,56,4.28606663609e-16,4.56746483436e-16,2.82128551691e-16,4.59168495335e-16
1465655727,411,274959,53,60,6.2645490956e-16,4.24091963205e-16,3.48524366608e-16,2.96226936049e-16
1465655728,867,274959,53,64,3.29707237557e-16,6.1988152846e-16,3.3192532184e-16,3.70294126786e-16
1465655730,324,274959,54,4,3.95654814755e-16,3.58864420924e-16,4.81318406968e-16,3.8510789136e-16
1465655731,781,274959,54,8,7.2539148623e-16,5.54604319127e-16,2.98744811598e-16,2.96235673125e-16
1465655733,238,274959,54,12,5.9347745377e-16,5.21985741762e-16,1.16175807485e-16,3.40686929851e-16
1465655734,695,274959,54,16,4.61598986678e-16,6.85091404969e-16,3.31950428511e-16,3.40672448927e-16
1465655736,152,274959,54,20,4.94541220916e-16,6.85136835468e-16,2.65543240861e-16,4.59161676194e-16
