#time_sec,time_ms,run,ls,nb,bcm1f_minus,bcm1f_plus
1465649485,916,274958,126,4,0.175793558359,0.126291304827
1465649487,376,274958,126,8,0.187818557024,0.131851285696
1465649488,868,274958,126,12,0.104214429855,0.117558777332
1465649490,286,274958,126,16,0.154031231999,0.0714884400368
1465649491,744,274958,126,20,0.123684704304,0.180307656527
1465649493,201,274958,126,24,0.148307099938,0.137415066361
1465649494,657,274958,126,28,0.153464242816,0.10246283561
1465649496,114,274958,126,32,0.137431368232,0.105644479394
1465649497,572,274958,126,36,0.132850319147,0.0984956100583
1465649499,66,274958,126,40,0.173506423831,0.103261843324
1465649500,485,274958,126,44,0.169497355819,0.123122133315
1465649501,954,274958,126,48,0.171220675111,0.0540169514716
1465649503,399,274958,126,52,0.196417033672,0.146163523197
1465649504,856,274958,126,56,0.114525936544,0.197793468833
1465649506,313,274958,126,60,0.14602085948,0.104858033359
1465649507,770,274958,126,64,0.127696663141,0.119156859815
1465649509,265,274958,127,4,0.217609003186,0.136629730463
1465649510,683,274958,127,8,0.103077933192,0.123125620186
1465649512,141,274958,127,12,0.183819964528,0.138221159577
1465649513,597,274958,127,16,0.137434333563,0.127103254199
1465649515,55,274958,127,20,0.20729675889,0.116776116192
1465649516,512,274958,127,24,0.103071369231,0.0850010514259
1465649517,971,274958,127,28,0.137435048819,0.114395335317
1465649519,463,274958,127,32,0.18381935358,0.104067966342
1465649520,883,274958,127,36,0.178088098764,0.10248041898
1465649522,340,274958,127,40,0.150029197335,0.117574431002
1465649523,797,274958,127,44,0.124270051718,0.124722480774
1465649525,253,274958,127,48,0.105941869318,0.0532280430198
1465649526,710,274958,127,52,0.180387482047,0.146178513765
1465649528,167,274958,127,56,0.193562686443,0.172395884991
1465649529,662,274958,127,60,0.126560240984,0.126317709684
1465649531,81,274958,127,64,0.156336650252,0.069911532104
1465649532,538,274958,128,4,0.138012632728,0.100100748241
1465649261,550,274958,116,28,0.152224421501,0.126168057323
1465649533,994,274958,128,8,0.15691062808,0.122345358133
1465649535,453,274958,128,12,0.140877857804,0.0969261452556
1465649536,908,274958,128,16,0.255412697792,0.0977206155658
1465649538,365,274958,128,20,0.151758983731,0.156511232257
1465649539,860,274958,128,24,0.239368259907,0.0564086586237
1465649541,279,274958,128,28,0.116248361766,0.127913221717
1465649542,736,274958,128,32,0.191265791655,0.0738877505064
1465649544,193,274958,128,36,0.198144510388,0.0969276502728
1465649545,650,274958,128,40,0.23135381937,0.103286258876
1465649547,107,274958,128,44,0.14946372807,0.0826290100813
1465649548,564,274958,128,48,0.133437022567,0.119971200824
1465649550,58,274958,128,52,0.2290764153,0.121560238302
1465649551,477,274958,128,56,0.126558735967,0.105670772493
1465649552,934,274958,128,60,0.158064588904,0.173208281398
1465649554,391,274958,128,64,0.175245538354,0.0699189379811
1465649555,848,274958,129,4,0.221064642072,0.104082547128
1465649557,305,274958,129,8,0.188421532512,0.164474591613
1465649558,763,274958,129,12,0.218202456832,0.0913747772574
1465649560,257,274958,129,16,0.170674458146,0.207378774881
1465649561,676,274958,129,20,0.180981919169,0.19069391489
1465649563,132,274958,129,24,0.167236477137,0.0754830166698
1465649564,590,274958,129,28,0.213633492589,0.171628311276
1465649566,46,274958,129,32,0.172971650958,0.109653361142
1465649567,503,274958,129,36,0.226237818599,0.0969399288297
1465649568,961,274958,129,40,0.160374909639,0.203413873911
1465649570,456,274958,129,44,0.176985174417,0.0794585496187
1465649571,874,274958,129,48,0.128299385309,0.07310333848
1465649573,332,274958,129,52,0.209059268236,0.0723087266088
1465649574,788,274958,129,56,0.241133525968,0.0961466729641
1465649576,245,274958,129,60,0.130592748523,0.0754880532622
1465649577,702,274958,129,64,0.153503730893,0.13428927958
1465649579,159,274958,130,4,0.196457892656,0.145413920283
1465649580,654,274958,130,8,0.22509996593,0.111248627305
1465649582,73,274958,130,12,0.114554688334,0.0969452261925
1465649583,529,274958,130,16,0.115697093308,0.134292796254
1465649584,986,274958,130,20,0.136890619993,0.0667507722974
1465649586,444,274958,130,24,0.147773101926,0.0389379449189
1465649587,900,274958,130,28,0.180420085788,0.0961554348469
1465649589,357,274958,130,32,0.169541180134,0.106483615935
1465649590,853,274958,130,36,0.21650865674,0.0874119326472
1465649592,271,274958,130,40,0.152928426862,0.12873506546
1465649593,728,274958,130,44,0.144342765212,0.131916344166
1465649595,185,274958,130,48,0.152361810207,0.117612168193
