Timestamp (UNIX_TIME),VGPB.220.1L5.X.PR,VGPB.220.1R5.X.PR,VGPB.7.4L5.X.PR,VGPB.7.4R5.X.PR,VPIAN.904.4L5.B.PR,VPIAN.904.4R5.R.PR
1465652393295000,,3.6000000758207307E-9,,,,
1465652397301000,,3.2000000427245823E-9,,,,
1465652418344000,,,6.999999885293207E-11,,,
1465652421998000,,,,,3.1447274295715033E-7,
1465652427336000,2.7999999541172826E-10,,,,,
1465652446298000,,,,8.500000009403763E-11,,
1465652451299000,,3.7999998703242E-9,,,,
1465652479302000,,3.4000000592726565E-9,,,,
1465652489334000,,,6.999999885293207E-11,,,
1465652501303000,,,,,,6.983639764257532E-7
1465652514299000,,,,8.500000009403763E-11,,
1465652527335000,2.8999999623913197E-10,,,,,
1465652542298000,,3.7999998703242E-9,,,,
1465652557303000,,3.3000000509986194E-9,,,,
1465652564262000,,,,,,6.983639764257532E-7
1465652574425000,,,6.900000015797048E-11,,,
1465652581293000,,,,8.300000270411445E-11,,
1465652618295000,,3.5000000675466936E-9,,,,
1465652623297000,,3.100000034450545E-9,,,,
1465652628296000,,3.5000000675466936E-9,,,,
1465652641297000,,,,8.400000139907604E-11,,
1465652642294000,,2.800000009628434E-9,,,,
1465652648345000,2.7999999541172826E-10,,,,,
1465652651299000,,3.3000000509986194E-9,,,,
1465652652302000,,3.7000000840947678E-9,,,,
1465652666141000,,,,,,7.685572995796974E-7
1465652701308000,,,,8.300000270411445E-11,,
1465652713304000,,3.899999878598237E-9,,,,
1465652723305000,,3.5000000675466936E-9,,,,
1465652735346000,2.7999999541172826E-10,,,,,
1465652769296000,,,,8.400000139907604E-11,,
1465652777880000,,,,,,8.472156878269743E-7
1465652792302000,,3.2000000427245823E-9,,,,
1465652807338000,2.8999999623913197E-10,,,,,
1465652843305000,,,,8.199999707025896E-11,,
1465652852306000,,3.100000034450545E-9,,,,
1465652852341000,,,6.800000146300889E-11,,,
1465652879495000,2.7999999541172826E-10,,,,,
1465652904301000,,,,8.300000270411445E-11,,
1465652918300000,,3.3000000509986194E-9,,,,9.323698009211512E-7
1465652943297000,,3.7000000840947678E-9,,,,
1465652950336000,2.8999999623913197E-10,,,,,
1465652965302000,,,,8.300000270411445E-11,,
1465652981064000,,,6.800000146300889E-11,,,
