fill|start_time|start_stable_beam|end_stable_beam|end_time|wloopTS|slinkTS
4926|20160514.161519|20160514.200258|20160515.081242|20160515.081906|20160514.165748 20160514.191615 20160514.203851 20160514.204026 20160514.204201 20160514.204303 20160514.204446 20160514.204619 20160514.204748 20160514.204919 20160514.205035 20160514.205222 20160514.205346 20160514.205459 20160514.205603 20160514.205716 20160514.205828 20160514.205942 20160514.210055 20160514.210201 20160514.210322 20160514.210425 20160514.210438 20160514.210542 20160514.210654 20160514.210751 20160514.210857 20160514.211010 20160514.211122 20160514.211233 20160514.211343 20160514.211442 20160514.211558 20160514.211710 20160514.211818 20160514.211927 20160514.212041 20160514.212308 20160514.212409 20160514.212530 20160514.212645 20160514.212751 20160514.212856 20160514.212959 20160514.213105 20160514.213209 20160514.213311 20160514.213420 20160514.213524 20160514.213627 20160514.213743 20160514.213900 20160514.214013 20160514.214125 20160514.214228 20160514.214336 20160514.214427 20160514.214533 20160514.214632 20160514.214732 20160514.214841 20160514.214943 20160514.215036 20160514.215130 20160514.215225|20160514.200310 20160514.200310 20160515.073601
4930|20160516.060641|20160516.090636|20160516.134320|20160516.135736|20160516.082337|20160516.090647
4935|20160516.174336|20160516.195849|20160517.064101|20160517.065021|20160516.180234 20160516.192352|20160516.195908 20160517.062942
4937|20160517.101302|20160517.121035|20160517.212326|20160517.213047|20160517.111650 20160517.114919 20160517.115043 20160517.115112 20160517.144125 20160517.161305|20160517.121041 20160517.144140 20160517.153003 20160517.161311
4942|20160518.033310|20160518.052943|20160518.090556|20160518.091316|20160518.045003|20160518.052954
4945|20160518.120827|20160518.162259|20160518.235724|20160519.000437|20160518.133622 20160518.152605 20160518.155332 20160518.160709 20160518.190337 20160518.213126 20160518.225259|20160518.162305 20160518.190344 20160518.204552 20160518.213135 20160518.225309
4947|20160519.231547|20160520.023615|20160521.135919|20160521.141520|20160520.002353 20160520.015338 20160520.114009 20160521.121214|20160520.023634
4953|20160526.232609|20160527.021846|20160527.034840|20160527.035729|20160527.003738 20160527.013556 20160527.023757|20160527.021856
4954|20160527.035729|20160527.074824|20160527.140158|20160527.141205|20160527.052404 20160527.064112 20160527.075033 20160527.124804|20160527.074828 20160527.075047 20160527.092441 20160527.105916 20160527.124811
4956|20160527.193650|20160527.220234|20160527.223840|20160527.224638|20160527.201406 20160527.211948|20160527.220252
4958|20160528.080545|20160528.114908|20160528.194647|20160528.195606|20160528.093253 20160528.110402|20160528.114912
4960|20160528.220710|20160529.004423|20160529.011054|20160529.163210|20160528.233945|20160529.004429
4961|20160529.163210|20160529.195931|20160530.051544|20160530.052913|20160529.173816 20160529.190945 20160530.004402|20160529.214819
4964|20160530.113625|20160530.135815|20160531.022822|20160531.023607|20160530.113646 20160530.131950 20160530.160121|20160530.135821
4965|20160531.023607|20160531.055408|20160531.140315|20160531.142102|20160531.034032 20160531.051203 20160531.105416 20160531.113346|20160531.055413
4976|20160531.235601|20160601.032204|20160601.060426|20160601.061242|20160601.005606 20160601.024513|20160601.032211
